gender,SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,1,0,0,0,0,0,0,0,20.15,0.6062068296652803,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,1,0,58,0,1,0,1,0,0,1,59.9,0.25657633534677887,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0,1,1,49,1,1,0,1,0,0,0,59.6,0.2637545421813649,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,0,30,1,1,0,0,0,0,1,55.3,0.2945708142132817,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,47,0,1,0,0,1,1,1,99.35,0.2439106061779685,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,1,1,1,0,1,0,0,0,0,0,30.2,0.5666725507046141,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,1,0,72,1,1,1,1,1,1,1,90.25,0.23226459369833352,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,0,1,17,0,0,0,0,1,1,1,64.7,0.31157075327822503,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,1,0,71,1,1,1,1,0,0,1,96.35,0.22993292924419959,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,1,1,0,2,0,0,1,0,1,1,1,95.5,0.42020456513083815,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,1,1,27,1,1,1,1,0,0,0,66.15,0.284787565648333,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0,0,0,1,0,0,0,0,0,0,0,20.2,0.605956486022388,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0,0,0,0,0,0,45.25,0.5297409785099337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,1,72,1,1,0,1,1,0,0,99.9,0.22729682106584942,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,0,0,5,0,0,0,0,0,0,1,69.7,0.38298311467537655,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,46,0,0,1,0,0,0,1,74.8,0.25605304496077275,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,0,0,34,0,1,1,0,1,1,1,106.35,0.2560416210671862,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,11,0,0,1,0,1,1,1,97.85,0.3109902379367281,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,10,0,1,0,0,0,0,0,49.55,0.3579132761782559,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0,1,1,70,1,1,0,0,1,0,1,69.2,0.2428717042821741,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,1,1,17,0,0,0,0,0,0,0,20.75,0.36567393767830686,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0,0,0,0,63,1,1,1,1,1,0,1,79.85,0.24296237790823144,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,1,0,13,1,1,0,1,1,0,1,76.2,0.3172161599195193,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,49,0,0,0,0,0,1,1,84.5,0.25197937220723604,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,0,2,0,1,0,0,0,0,0,49.25,0.46652119308384365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,0,2,0,0,0,0,1,0,1,80.65,0.43671444677420074,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,0,52,1,0,0,1,1,1,1,79.75,0.24878202752895037,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,1,1,69,1,0,1,1,0,0,1,64.15,0.2484269557921855,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1,0,0,43,0,1,0,0,1,0,1,90.25,0.25271733226700355,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,15,1,1,0,0,1,1,1,99.1,0.29805273518502595,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,1,0,25,1,0,0,1,1,0,1,69.5,0.2879944601726307,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,1,0,8,0,1,0,0,0,0,1,80.65,0.3412440481613815,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,1,1,60,1,1,1,1,0,1,1,74.85,0.24651127305989487,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,0,0,18,0,0,0,0,1,1,1,95.45,0.28799719892105796,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,1,63,1,0,0,0,1,1,1,99.65,0.2326205131853542,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,1,1,66,0,1,1,1,1,1,1,108.45,0.22822599849249686,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,1,1,34,0,0,0,0,0,0,0,24.95,0.32217076490289714,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,0,0,0,72,0,0,1,1,1,1,1,107.5,0.22429570048775863,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,1,0,47,0,0,1,0,1,1,1,100.5,0.2442724167558888,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,0,60,0,1,0,0,1,0,1,89.9,0.238373489128132,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0,72,1,1,1,0,0,0,0,42.1,0.26387757904127734,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,1,18,0,0,1,1,0,0,1,54.4,0.3185471916392636,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,0,0,9,0,0,0,0,1,1,0,94.4,0.3244507265604478,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,3,0,1,0,1,1,1,1,75.3,0.4000110944102557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,1,0,47,0,1,0,0,0,0,1,78.9,0.25484585960402806,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,0,31,0,1,1,1,1,1,0,79.2,0.2714924639189657,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,1,1,50,0,0,0,0,0,0,0,20.15,0.3200242056625243,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,0,0,0,10,1,0,1,0,0,0,1,79.85,0.3225899558314631,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,0,1,0,0,0,1,0,0,0,49.05,0.5226691070403131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,1,52,0,0,0,0,0,0,1,20.4,0.3116872946131012,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,1,1,1,64,1,0,1,1,1,1,1,111.6,0.2281044742296153,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,1,62,0,0,0,0,0,0,1,24.25,0.29811546772938874,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0,0,1,3,1,0,0,1,0,1,1,64.5,0.4218658759448317,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,56,1,1,1,0,1,1,0,110.5,0.23369235190405974,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,0,46,0,0,0,0,0,1,0,55.65,0.2681671464804069,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,1,1,8,1,1,0,0,0,0,0,54.65,0.35709844629131027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0,0,30,1,1,0,0,1,1,1,74.75,0.2791954536405156,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,1,45,0,0,0,0,0,0,1,25.9,0.3060614968935835,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,0,0,1,1,0,0,0,0,1,0,1,79.35,0.48240171690023625,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,1,11,1,0,0,0,1,1,0,50.55,0.3477606459896271,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,0,7,0,0,1,0,0,0,1,75.15,0.35532178394038816,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,42,0,1,1,1,1,1,1,103.8,0.24771966683430055,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,0,49,0,0,0,0,0,0,1,20.15,0.317654609022822,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,0,0,0,9,0,1,0,0,1,1,1,99.3,0.3207257095809723,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,1,0,35,1,0,0,0,1,0,1,62.15,0.27696379914221025,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1,1,48,0,0,0,0,0,0,0,20.65,0.31331955576625575,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0,1,1,46,0,0,0,0,0,0,1,19.95,0.3202424525767172,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1,0,1,0,29,0,0,0,0,1,0,0,33.75,0.31574286132979484,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,1,30,0,1,1,0,0,0,0,82.05,0.2701918096804743,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0,0,1,0,0,0,74.7,0.4872814734220044,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,1,1,66,1,0,1,1,1,1,1,84.0,0.23650489135460503,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,0,0,65,1,1,1,0,1,1,1,111.05,0.22806165981496174,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,0,0,72,0,1,1,0,1,1,1,100.9,0.22623132908074758,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,12,1,0,0,0,0,0,1,78.95,0.3202280621797773,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,1,1,71,1,1,0,1,0,0,1,66.85,0.2439144583002764,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,0,5,0,0,0,0,0,0,0,21.05,0.4542321057585891,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,0,52,0,0,0,0,0,0,0,21.0,0.3109059168274249,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,1,1,0,25,0,1,1,0,1,1,1,98.5,0.27118025202015744,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,20.2,0.605956486022388,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,1,1,1,0,0,0,0,0,0,0,19.45,0.6097896737853982,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0,0,0,38,0,0,1,1,1,0,0,95.0,0.25537031321754916,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,1,0,66,0,1,1,0,1,0,0,45.55,0.2629210060164933,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,1,0,68,0,1,1,1,1,1,1,110.0,0.22546802628214588,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,0,0,5,0,0,0,0,0,0,0,24.3,0.46400434397940415,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,1,72,1,1,0,0,1,1,1,104.15,0.22702967163000534,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,0,32,1,0,0,0,0,0,0,30.15,0.3202107996766159,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0,0,0,43,0,0,0,0,1,1,0,94.35,0.2518227651663208,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0,1,1,72,0,0,0,0,0,0,0,19.4,0.300310660346266,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1,0,1,0,55,1,1,0,0,1,0,1,96.75,0.23995325664163128,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,52,1,0,1,1,0,0,0,57.95,0.26270450278344415,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,0,0,43,0,1,1,0,1,0,1,91.65,0.25147340286701675,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,0,37,0,0,0,0,0,0,1,76.5,0.2652974179990439,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,1,64,0,1,0,1,1,1,1,54.6,0.2575856181620268,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,0,1,1,3,1,1,0,0,1,0,0,89.85,0.39884859642875675,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,36,1,0,0,0,0,0,0,31.05,0.31001861573877854,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,1,10,1,0,0,0,1,1,1,100.25,0.312943203218961,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,41,0,0,0,0,0,0,0,20.65,0.3258661521215174,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1,0,1,1,27,0,1,0,1,0,0,1,85.2,0.27831700614788357,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,1,1,56,0,0,1,0,1,1,1,99.8,0.2379047836632731,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,0,0,6,0,0,0,0,0,0,0,20.7,0.4549677099326503,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,0,3,0,0,0,0,0,0,1,74.4,0.40412940410577497,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,1,7,1,0,0,0,0,0,0,50.7,0.3766312165214564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,1,4,0,0,0,0,0,0,0,20.85,0.5014468325995008,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,0,33,1,0,0,1,1,0,1,88.95,0.2629152163670839,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1,0,0,27,0,0,1,0,0,0,1,78.05,0.27866562803668127,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,1,0,72,0,0,0,0,0,0,1,23.55,0.288788052749867,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,19.75,0.6082360400688648,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,1,0,0,71,1,1,0,0,1,1,1,56.45,0.251143680977596,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,0,13,0,0,0,0,0,1,1,85.95,0.30610134715093057,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,1,25,1,1,1,0,1,1,1,58.6,0.2954770089150583,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,0,0,67,0,0,0,1,0,0,0,50.55,0.2596937591872233,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,0,0,1,0,0,0,0,0,1,1,35.45,0.5517351167530968,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,0,2,0,0,0,0,0,0,0,44.35,0.48050300171056565,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,43,0,0,0,0,0,0,1,25.7,0.3072687606070988,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,0,0,0,23,1,0,0,0,0,0,1,75.0,0.28729254401977106,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,1,64,0,0,0,0,0,0,0,20.2,0.30357011726839334,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1,0,0,1,57,0,0,0,0,0,0,1,19.6,0.30803613941330266,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0,1,1,0,1,0,0,0,0,0,0,1,70.45,0.4920620071078028,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,1,1,72,1,1,1,1,1,1,1,88.05,0.23192478124439547,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,0,0,8,1,0,0,1,0,1,0,71.15,0.3479352376446588,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,0,61,0,1,0,0,1,1,1,101.05,0.23477713086844387,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,0,0,64,1,1,0,0,0,0,1,84.3,0.23957254947610915,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,1,0,71,0,0,0,0,0,0,0,23.95,0.2878973525441428,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0,1,1,65,1,1,0,1,1,0,1,99.05,0.23197866463923314,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0,0,0,3,0,0,0,0,0,0,0,19.6,0.5035364404346684,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1,0,0,0,1,0,0,0,0,0,0,1,45.65,0.5289645119648103,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,30,0,1,1,0,1,0,0,64.5,0.28340596731082285,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,1,1,15,0,1,1,1,0,1,1,69.5,0.3126137381612547,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,1,8,0,0,0,1,1,1,1,68.55,0.3478632726597299,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,0,7,0,0,0,0,1,1,0,95.0,0.339290123117816,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,1,1,70,1,1,1,0,1,1,1,108.15,0.22393197756053532,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,1,1,62,1,1,1,1,1,1,0,86.1,0.24013427070228438,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0,1,1,6,0,0,0,0,0,0,0,19.7,0.45446525898924395,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,1,1,14,0,0,0,0,0,1,1,80.9,0.30882160236053835,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,22,0,0,0,0,1,0,1,84.15,0.2861391334545241,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,22,0,0,0,0,0,0,0,20.15,0.3654340582397928,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1,0,1,1,16,1,0,1,0,1,0,0,64.25,0.3149802624737183,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0,0,0,10,0,0,0,0,0,0,0,25.7,0.39799861478728465,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0,0,1,13,1,1,0,0,0,0,1,56.0,0.33069859609947627,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,0,20,1,0,0,0,0,0,0,82.4,0.29263543361035765,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,0,2,0,0,0,0,0,0,1,69.7,0.44140496926121664,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,0,53,0,1,1,1,0,1,1,73.9,0.2514294410649314,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,1,1,11,0,0,0,0,0,0,0,20.6,0.40286693986048927,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1,0,1,0,69,0,0,0,0,0,0,0,19.9,0.30030331796684084,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0,0,0,0,4,0,0,0,0,0,0,1,70.9,0.39262042801025016,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0,72,1,1,1,1,1,1,1,89.05,0.23297097245945758,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,0,58,0,1,1,0,0,1,1,45.3,0.2687981352210982,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,1,16,0,0,0,0,0,0,0,20.4,0.38208414915688327,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0,1,0,43,1,0,1,1,0,0,1,84.25,0.2561620518125797,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1,0,2,0,0,1,1,1,1,1,104.4,0.4003672572982497,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,1,0,14,0,1,1,1,1,1,0,81.95,0.30754763957783765,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,1,0,53,0,0,1,0,1,1,1,94.85,0.24182550536902875,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,32,0,0,0,0,0,0,0,20.55,0.33937214661133613,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,0,1,0,34,0,0,0,0,0,0,0,24.7,0.32958366260580024,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1,0,0,15,0,0,0,0,0,0,1,74.45,0.30913974746612094,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,0,7,1,0,0,0,0,0,0,76.45,0.35452950129294597,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,1,15,0,1,1,0,1,1,1,105.35,0.2936617446038974,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0,61,0,0,0,0,0,0,1,20.55,0.3046019027135208,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,0,0,0,1,0,1,0,0,0,0,0,29.95,0.5674581818224792,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
